Desease,Diagnosa,Link,embedding
hiv,sexually transmitted infections and migration in uganda: a population-based study.,https://pubmed.ncbi.nlm.nih.gov/39134398/,"[-3.7110324e-03  4.5043039e-03  1.7799628e-04  1.9723268e-03
 -9.7817276e-04 -9.7027309e-03 -8.5310341e-04  9.0310480e-03
 -5.0567151e-03 -5.0171604e-03  7.6403434e-04 -4.6481206e-03
 -1.1849885e-03 -1.3987784e-03  1.3431811e-03  1.3281673e-03
  5.8270330e-03 -2.1818837e-03 -9.9128403e-04 -2.5740992e-03
  2.1411523e-03 -4.8019737e-04  3.6674924e-03  4.2251422e-04
  3.5294485e-03  8.1466930e-04 -4.4023767e-03  1.1205546e-03
 -4.5076897e-03  1.9709221e-03  2.7733846e-03 -3.2049007e-04
  3.9675003e-03 -3.1976204e-03 -4.2040039e-05  5.5031581e-03
  2.0967580e-03 -3.5608266e-03 -2.2613104e-03 -6.8145694e-04
 -8.9477876e-04 -1.0533279e-03 -3.8033563e-03  1.1240819e-03
 -5.4655876e-04 -2.6910864e-03 -4.0807398e-03  1.3066009e-04
 -2.0180531e-04  1.5390010e-03  2.5095586e-03 -5.6365635e-03
 -2.8278963e-03 -1.6025361e-03 -2.3462363e-03  1.7444531e-03
  4.6046851e-03 -2.2496111e-03 -4.2072395e-03  3.8826584e-03
 -2.0439555e-03  8.8705227e-04 -1.0878105e-03 -1.4050109e-03
 -9.1521491e-05  3.3188076e-03 -4.7099887e-04  3.2583543e-03
 -1.9782274e-03  2.1713520e-03 -1.6909249e-03  2.5376652e-03
  2.3511094e-03  6.9023884e-04  4.1996264e-03  9.1094431e-04
 -1.0742726e-03  9.6023577e-04 -3.6697991e-03 -2.2450264e-03
 -5.7381475e-03  3.5280373e-03  2.1175805e-03  4.0849550e-03
  3.9648582e-04  6.5875571e-04  2.4082761e-03  3.4807515e-03
  3.9511155e-03 -3.0291034e-03  3.5960812e-03  2.6073400e-03
  9.1877046e-05 -1.7871402e-04  6.5861396e-03  6.0641291e-03
  4.2748256e-03 -4.7252635e-03 -1.2631794e-03 -7.0956320e-04]"
hiv,long-term retention and positive deviant practices in uganda's community client-led antiretroviral distribution groups (cclads): a mixed-methods study.,https://pubmed.ncbi.nlm.nih.gov/39134343/,"[-3.8905770e-03  4.0452066e-03 -1.1751695e-03  6.7619066e-04
  1.8829381e-03 -4.8304596e-03  1.5027460e-03  5.7115951e-03
  5.3700950e-04 -3.0329931e-03  1.0649754e-03 -3.4068772e-03
 -3.6931370e-04  2.3711972e-04 -5.6320801e-05 -9.8700821e-04
  4.3306146e-03 -5.3313805e-04 -4.7907876e-03 -9.0708374e-04
  4.7920821e-03  7.8849692e-04  4.4498593e-03  2.0365247e-04
  4.5397217e-04 -1.4445642e-03 -3.8276906e-03  6.6410255e-04
 -3.9749355e-03 -5.5971916e-04  1.4718309e-03  6.9836952e-04
  4.2966980e-04 -1.5618029e-03  1.5436974e-03  1.0092426e-03
 -1.6250287e-04 -5.0773373e-04 -2.2171028e-03 -2.9314854e-03
  4.5577422e-06 -1.5663524e-03 -3.2357529e-03  3.3123572e-03
  6.6603819e-04  7.0393900e-04 -2.9714382e-03 -1.7620149e-04
  8.3288015e-04  9.4122067e-04  6.2177563e-04 -6.4095575e-04
 -1.5174471e-03  1.2873242e-03 -2.8972859e-03  1.9329930e-04
  2.7450665e-03  1.2869885e-03 -3.8127268e-03  1.4754548e-03
 -5.6234922e-04  1.0025167e-03  1.5700615e-03  1.7652706e-03
 -1.9691808e-03  8.1514259e-04  1.9804174e-03  3.2164829e-03
 -2.1418985e-03  2.0098137e-03 -2.4151492e-03  1.6199126e-03
  1.7109807e-03  4.2989523e-05  4.3670032e-03  2.3920196e-03
 -3.9486206e-04  1.1212869e-03  7.0990168e-04  5.4182869e-04
 -8.2187023e-04  5.7003350e-04  1.5110987e-03  1.7268809e-03
 -1.9695177e-03 -1.0532916e-03  1.5053098e-03 -2.1127781e-03
  2.7785520e-03  1.0660919e-03  2.1953690e-03  2.0372760e-03
  1.4903450e-03 -2.3812980e-03  4.2556580e-03  2.5279375e-03
  1.3697048e-03 -2.4776065e-03  1.1138347e-03  1.0277879e-03]"
hiv,childhood sexual trauma and opioid use among older adults living with hiv.,https://pubmed.ncbi.nlm.nih.gov/39134039/,"[-2.8285421e-03  3.0167270e-03 -6.4909761e-04 -3.0927674e-03
  1.0530608e-03 -5.6350292e-03 -3.9202001e-04  7.3565082e-03
 -4.0419257e-04 -4.0981392e-03 -2.7796852e-03 -3.4024531e-03
 -7.5074256e-04  1.7221952e-04  3.0323578e-04 -3.5939990e-03
  1.6900835e-03 -3.8120530e-03 -2.2011346e-03 -4.9136225e-03
  1.5780666e-03 -2.3926590e-03  3.0090110e-03 -4.1868947e-03
  8.3403960e-05 -2.5736208e-03 -2.3066073e-03 -1.1399691e-03
 -4.6580364e-03  5.5983412e-04  2.8996610e-03 -1.1481005e-03
 -1.0226612e-04 -5.2473173e-03 -1.3392543e-03  5.4657180e-03
  1.0505575e-03 -2.2582857e-04 -3.2881228e-04 -2.0202354e-03
  3.1791374e-03 -2.2589727e-03 -2.2327052e-03  1.9555273e-03
  2.9801487e-04 -2.5483344e-03 -4.8803157e-04 -1.9211747e-03
  3.5196205e-03  2.6343262e-03  5.5915061e-03 -3.4365293e-03
 -1.0241295e-03  2.0161984e-03 -2.6153922e-03  2.3327002e-03
  4.0762085e-03 -2.2460592e-03 -4.7701877e-03  1.6878564e-03
 -6.7831293e-06  1.5632961e-03 -2.1904933e-03 -1.1367843e-03
 -8.2711159e-04  3.4144763e-03 -1.1454554e-03  2.4107592e-03
 -2.7155431e-03  1.6681001e-03 -7.7043875e-04  3.5431422e-03
  5.4922923e-03  1.7707540e-03  2.7159899e-03  8.1994897e-04
  7.5094000e-04  1.5606536e-03 -3.7003595e-03 -8.1088906e-04
 -2.2330170e-03  2.1271592e-03 -1.7850812e-03  2.5645606e-03
 -1.9810203e-04 -1.8863553e-03 -8.3045382e-04  3.7822991e-03
  1.7083330e-03  2.0346248e-03  4.8116376e-03  2.5210928e-03
  1.9374992e-03  1.9448482e-04  5.3268266e-03  3.2120242e-03
 -4.5451432e-04 -4.0926510e-03 -2.1628842e-04 -2.6293055e-03]"
hiv,"hiv-1 resistance and virological failure to treatment with the integrase inhibitors bictegravir, cabotegravir, and dolutegravir: a systematic literature review.",https://pubmed.ncbi.nlm.nih.gov/39134019/,"[-6.4790961e-03  9.8008628e-04 -3.4234868e-04 -1.1223961e-03
  2.8736424e-03 -6.1619068e-03  7.9805421e-04  7.3168967e-03
 -3.9704973e-03 -3.3904915e-03 -1.1462141e-03 -3.3858339e-03
 -2.1603715e-03  9.3854335e-04  7.7627320e-04 -2.6455449e-03
  3.7751771e-03 -2.4316108e-03 -2.6680818e-03 -5.6775138e-03
  7.3682371e-04 -3.3944601e-04  2.6584023e-03 -9.4305997e-04
 -3.0102115e-04 -1.1624357e-03 -3.3222307e-03  1.7402937e-03
 -4.3141549e-03  9.2441827e-05  7.2967098e-03 -1.0300977e-03
  2.0727573e-03 -4.2263330e-03 -1.0369206e-03  4.5151995e-03
  2.9320200e-03 -8.7696785e-04 -1.6276101e-03 -1.5887929e-03
  3.9821756e-03 -3.1420819e-03 -5.1106662e-03  7.4214878e-04
  1.5850719e-03  8.3057872e-05 -3.7742222e-03  1.8920345e-03
  1.8707059e-03  2.8808524e-03  3.8680898e-03 -4.3233358e-03
 -2.6241299e-03  1.5551557e-03 -3.4860184e-03  1.5735511e-03
  5.6484910e-03 -9.8840136e-04 -5.4101122e-04  2.8749709e-03
  5.5294240e-05  2.0335375e-03  3.1102556e-03  3.8401419e-04
 -3.5089310e-03  2.9428834e-03  2.0623962e-04  1.0813269e-03
 -3.8134439e-03  3.2205479e-03 -2.2973171e-03  2.5643662e-03
  3.1791807e-03 -1.8980053e-03  9.6112362e-04  3.0098917e-04
  4.5037240e-04  5.3567183e-04 -2.4152109e-03 -6.5949030e-04
 -4.8750988e-03  3.1911600e-03  1.5742013e-04  4.3533952e-03
 -5.3091870e-05 -1.3171019e-03 -8.8278510e-05  3.6665197e-03
  3.6547917e-03  1.5127284e-03  1.5423935e-03  2.6577816e-03
  1.7903563e-04  3.9122361e-04  7.2051389e-03  4.6758130e-03
  1.1129682e-03 -5.3848601e-03  2.3891895e-04 -5.5132760e-04]"
hiv,immune signature in vaccinated versus non-vaccinated aged people with covid-19 pneumonia.,https://pubmed.ncbi.nlm.nih.gov/39135151/,"[-2.6707484e-03  3.9704782e-03  1.3253710e-03 -3.6783563e-03
 -2.3394510e-04 -3.9404337e-03  3.5970805e-03  6.6333963e-03
 -2.6089808e-03 -1.7589832e-03  2.0444687e-03 -5.5657402e-03
 -1.8516399e-03 -2.2045737e-03 -3.0981316e-03 -2.6374927e-03
  1.0889181e-03 -3.8388425e-03 -1.4461350e-03 -2.5001534e-03
  2.1110019e-03 -8.2337152e-04  4.5998353e-03 -5.9134240e-04
 -2.1923729e-03  1.0759165e-03 -1.1201036e-03 -2.6980946e-03
 -1.6124990e-03 -5.1918929e-03  2.5938216e-04 -6.0782244e-04
 -1.7807328e-03 -2.4443357e-03 -2.3894052e-03  1.7147090e-03
  7.3921052e-04 -1.0753474e-04 -1.2113246e-03  6.4443558e-04
  1.3333325e-03 -4.0154080e-03 -2.6675956e-03  3.5439299e-03
  1.0689067e-03  2.9858237e-04 -2.0706328e-03 -6.5815449e-04
  3.6013022e-03  1.9702011e-04  2.3790083e-03 -1.6262240e-03
  1.4793369e-03  3.0522243e-04  5.9311994e-04 -3.1277060e-03
  3.7686490e-03 -1.1495731e-03 -2.1889268e-03 -2.0139401e-03
 -7.1106496e-04  2.3679211e-04 -7.5891073e-04 -1.1334666e-03
 -1.8831105e-03  9.7230397e-04 -2.7234416e-04 -1.3340307e-04
 -2.4570134e-03  2.5422943e-03  1.9291212e-04  3.9878506e-03
  2.5461984e-03 -2.4039296e-03  2.0650546e-03  1.5586116e-03
 -1.2826208e-03 -9.7117270e-04 -3.1576888e-03  7.7212571e-05
 -4.0536392e-03  9.1157074e-04  3.7867350e-03  8.0122123e-04
  2.0469211e-03  1.6534430e-04  4.8853806e-04  2.9574500e-03
  5.9427682e-04  3.2030658e-03  1.7767589e-03  1.5750396e-03
 -2.4540515e-03  5.1523017e-04  4.7959830e-03  3.2047874e-03
 -1.3493522e-03 -3.3682683e-03  2.1546606e-03  3.9657560e-04]"
hiv,mental health service use and shortages among a cohort of women living with hiv in canada.,https://pubmed.ncbi.nlm.nih.gov/39135046/,"[-4.45100386e-03  5.96898515e-03 -2.28508259e-04 -9.16242949e-04
 -1.10964786e-04 -8.23857170e-03  4.21176711e-03  7.56216096e-03
 -5.19877719e-03 -6.52836263e-03 -1.21114403e-03 -5.78882266e-03
  7.09935557e-06  6.09436014e-04  9.75355913e-04 -5.51271020e-03
  2.87981611e-03 -2.91517377e-03 -4.63420572e-03 -7.78961275e-03
  2.88290600e-03  1.89524458e-03  5.19804703e-03 -3.51024535e-03
 -3.26924678e-03 -5.31382975e-04 -3.19206016e-03  2.17722310e-03
 -5.55611169e-03  4.66898928e-04  6.07301528e-03 -2.67664611e-04
 -2.78815452e-04 -4.69458150e-03 -1.74249685e-03  4.80374740e-03
  2.87111872e-03 -2.97666248e-03 -1.37038121e-03 -4.89841029e-03
  8.44275113e-04 -3.19500198e-03 -2.70649209e-03  2.14385497e-03
  4.19783639e-03 -1.09481299e-03 -3.28119518e-03 -2.81022838e-03
  2.33364943e-03  1.98089262e-03  3.19315819e-03 -3.76551226e-03
 -1.29895227e-03 -1.00468530e-03 -1.20334513e-03  1.28803297e-03
  4.84986044e-03 -5.87927236e-04 -4.16150130e-03  1.94172678e-03
  9.06259054e-04 -8.88294657e-04 -1.47863198e-03 -1.06499111e-03
 -3.56526533e-03  4.14059870e-03 -1.35105487e-03  5.52228186e-03
 -5.55214472e-03  2.89294776e-03 -1.01505243e-03  3.27968528e-03
  8.98665749e-03  2.28243135e-03  3.55888298e-03  1.32176292e-03
  1.43506052e-03 -1.13633927e-04 -3.88938817e-03  1.28270651e-03
 -2.91730231e-03  3.01534613e-03 -2.62356969e-03  2.78445589e-03
  9.66055319e-04 -2.53908336e-03 -2.21488008e-05  4.77651134e-03
  4.28968063e-03  1.74835988e-03  4.27560881e-03  1.39702274e-03
  1.56890089e-03 -6.72775146e-04  1.05692269e-02  4.50828904e-03
  2.24677240e-03 -5.33007504e-03  2.07264535e-03 -5.08262310e-03]"
hiv,implementing group care in dutch and surinamese maternity and child care services: the vital importance of addressing outer context barriers.,https://pubmed.ncbi.nlm.nih.gov/39134970/,"[-1.6718659e-03  8.5169665e-04  1.4508229e-03 -1.0166708e-03
  4.1024825e-03 -2.7859488e-03  5.4764742e-04  6.1872718e-03
 -1.8594146e-03 -4.4232998e-03 -4.1952488e-04 -2.9522781e-03
 -2.2927052e-03  2.0685731e-03  1.9364062e-03 -1.0982135e-03
  2.6723719e-03 -3.1939527e-04 -5.0214399e-05 -4.5136563e-03
  6.0843700e-04 -5.7283940e-04  1.5420807e-03 -3.1483818e-03
  8.9240493e-04 -1.4137517e-03 -2.7606594e-03  1.0096605e-03
 -3.6955699e-03  1.5095411e-03  2.6673446e-03 -1.0542885e-03
  1.5935261e-03 -5.6150472e-03  1.2878166e-04  2.5680545e-03
  4.5242766e-04 -1.9837560e-03 -4.7758874e-04 -4.1651065e-03
  1.2606601e-04 -3.1352141e-03 -3.7898638e-03  1.6482885e-03
  2.1446743e-03 -1.8879017e-04 -3.6745501e-04 -1.3543047e-03
  1.5959442e-03  1.9726760e-03  7.2746043e-04 -2.1420354e-03
  1.9295816e-04 -4.8445956e-05 -4.4616219e-05  1.0858844e-03
  4.2358399e-03  2.9250380e-04 -5.0365198e-03  2.7300215e-03
 -5.2813278e-04  7.9144945e-04 -7.8627339e-04 -1.1945823e-04
 -3.2340433e-03  2.9355790e-03  2.2198872e-03  2.1447707e-03
 -2.2345828e-03  5.6301812e-03  3.1045149e-04  3.4923784e-03
  4.5753988e-03 -5.7925296e-04  1.7713131e-03 -1.1303767e-03
 -1.0821848e-03  1.2249602e-03 -3.1732284e-03 -1.2916619e-03
 -1.3483833e-03 -5.5376929e-04  1.1819304e-04  4.6259277e-03
  3.4589571e-05 -1.8890237e-03  1.1129737e-03  3.6671266e-03
  2.0931971e-03  4.0250709e-03  2.5766897e-03  2.8117162e-03
  8.7403657e-04 -2.2801959e-03  5.2157375e-03  2.8691802e-03
  2.3553031e-03 -3.0114541e-03  2.0607929e-03 -1.7215054e-03]"
hiv,can you be a peer if you don't share the same health or social conditions? a qualitative study on peer integration in a primary care setting.,https://pubmed.ncbi.nlm.nih.gov/39134944/,"[-5.5014845e-03  3.5477618e-03  3.1697069e-04 -7.5801776e-04
  7.1828405e-04 -5.8611101e-03  1.4549163e-03  5.5920798e-03
 -1.3258712e-03 -3.2246185e-03  8.4886327e-04 -6.4847060e-04
  1.2508503e-03 -3.4541558e-04  1.7745282e-03 -9.5396809e-04
  1.7713781e-03 -3.1679324e-04 -1.0495554e-03 -1.9805147e-03
  2.4139810e-04  1.6585608e-04  4.2871889e-03  1.1876581e-03
 -2.5506455e-03 -6.6005497e-04 -1.2574511e-03  7.1407610e-04
 -3.7331271e-03 -9.6888439e-04  1.1461364e-03  3.7881957e-05
  1.3409129e-03 -3.1763415e-03 -8.9658704e-04  2.6290482e-03
  6.8945996e-04 -1.9200512e-03 -1.8245492e-03 -2.4699161e-03
  1.3567794e-03 -1.2044150e-03 -1.8191638e-03 -1.1791834e-03
  1.5083986e-03 -1.1680403e-03 -5.8338058e-04 -9.7280467e-04
 -2.3376786e-03  3.7549336e-03 -4.5217932e-04 -1.6861787e-03
 -3.3181326e-03 -2.6110345e-06 -5.4329034e-04  6.4518146e-04
  2.0170244e-03 -1.9074237e-03 -2.9750998e-04  5.4565852e-04
 -4.0395977e-04  1.3165937e-03  6.7489903e-04  5.7084759e-04
 -1.2617764e-03  2.4245360e-03 -2.6755847e-04  1.2228466e-03
 -1.6688296e-03  1.7410171e-03 -9.6065673e-04  3.3425505e-03
  1.9228128e-03  1.2118702e-03  2.6221792e-03  1.8164751e-03
  5.6432397e-04 -5.4686079e-05 -2.3694835e-03  1.5315773e-03
 -2.0271656e-03  2.3455683e-03 -1.6202478e-04  2.0544885e-03
 -9.5418707e-04 -1.9394625e-03  1.1983063e-03  2.0390716e-03
  1.4156281e-03  1.1699335e-03  1.2463946e-03  1.2463909e-03
 -8.9326745e-04  1.4553351e-03  6.4173108e-03  1.4947028e-03
  3.5074991e-03 -4.4997344e-03  8.1683503e-04 -2.1711008e-03]"
hiv,"substance use moderates relationships between apolipoprotein e genotype, hepatitis c, cognition, and depression in miami adult studies on hiv (mash) participants.",https://pubmed.ncbi.nlm.nih.gov/39134913/,"[-3.3099521e-03  2.8864059e-03  2.6878323e-03  1.5311814e-03
  6.6412898e-04 -4.1223299e-03  2.9822701e-05  4.7369986e-03
 -3.7885301e-03 -4.2755073e-03 -1.7829139e-04 -5.4491833e-03
  1.0665318e-04  1.4693635e-03  1.9965912e-03 -2.9587401e-03
  1.9479032e-03 -4.6215198e-04 -4.6126847e-04 -5.2443543e-03
  4.2592440e-04  3.0802821e-03  2.7594573e-03 -1.0824440e-03
  2.2222594e-04 -2.5236601e-04 -3.9096898e-03 -4.9101422e-04
 -3.2113816e-03  2.3038588e-03  5.1079500e-03 -7.1814272e-04
  8.3381787e-04 -6.2254467e-04 -1.6522827e-04  4.5018625e-03
  1.1846808e-03 -1.3414236e-03 -1.4806569e-03 -2.1912251e-03
 -5.4793281e-04 -1.2233736e-03 -2.7762940e-03 -2.4135283e-04
  1.8101585e-03  1.2207741e-03 -3.1149196e-03 -1.9283829e-03
  1.5400474e-04  3.9144405e-03  7.7833154e-04 -2.7633894e-03
 -1.4566130e-03  1.0376294e-03 -1.4045912e-04  1.6381422e-03
  1.5833504e-03 -1.7934351e-03 -1.1282361e-03  5.5351655e-04
 -1.0365213e-03  1.0741531e-03  2.1505551e-04 -3.4082640e-04
 -2.6985651e-03  3.7514742e-03 -2.6696299e-03  7.9714478e-04
 -5.5114535e-04  2.6346180e-03 -1.9777711e-03  4.1975798e-03
  6.8192710e-03  1.0553518e-03  3.0786742e-03  7.5443117e-05
  2.5158783e-04 -1.6249113e-03 -9.1021607e-04 -1.7938549e-03
 -2.7118113e-03  1.7351467e-03  1.4301568e-04  2.4506892e-03
  7.7557075e-04  4.5925440e-04 -2.5205682e-03  1.8679852e-03
  3.1916995e-03  1.7401678e-03  3.5657126e-03  5.8642204e-04
 -9.9995661e-05 -6.7072874e-04  5.6149000e-03  3.7458329e-03
 -1.2357241e-03 -2.0617235e-03  6.3473370e-04 -4.9963791e-04]"
hiv,safety but limited efficacy of donor lymphocyte infusion for post-transplantation cyclophosphamide-treated patients.,https://pubmed.ncbi.nlm.nih.gov/39134710/,"[-3.33364937e-04  4.55799093e-03 -1.86394190e-03 -1.09751185e-03
  2.32028146e-03  3.25795118e-04  1.83380525e-05  1.97259057e-03
  1.33407259e-04 -3.06986831e-03 -7.17910007e-06 -3.20180226e-03
  1.34292443e-03  2.92170979e-03  2.69841240e-03 -2.39626504e-03
  1.90436002e-03 -1.22531864e-03  1.49422922e-04 -2.20752298e-03
  2.33467319e-03  2.42850510e-04  1.06897508e-03 -1.04027905e-03
 -2.41620908e-03  1.97809865e-03  5.84356836e-04 -4.23967838e-04
  1.71193082e-04 -2.44264142e-03  2.77554244e-03  1.39667827e-03
 -8.91671982e-04 -1.10864791e-03 -8.49928707e-04  8.92400742e-04
 -1.53540319e-03 -2.13166932e-04 -2.86986120e-03 -2.34293169e-03
  1.08577020e-03 -2.21404782e-03 -1.20736763e-03 -1.05830550e-03
 -5.18696674e-04  1.57923752e-03 -2.04245257e-03  3.74096300e-04
 -1.53638015e-03 -2.06899513e-05 -3.49468464e-04 -9.18410777e-04
 -1.71158230e-04 -2.42357026e-04 -2.92220921e-03 -5.82567482e-05
 -1.26811070e-03 -5.40033355e-03 -5.26834046e-03  1.37828675e-03
  1.80171430e-03  1.34804193e-03 -1.17712036e-04  1.06452382e-03
 -9.28717607e-04  4.37475415e-03  5.22620212e-05  4.23931470e-03
 -3.82548827e-03  5.37306361e-04 -1.56980925e-04  2.58836080e-04
  2.51786434e-04 -4.54855617e-04  3.63853690e-03  1.54362551e-05
  2.21769093e-03  1.32172217e-03 -2.16020970e-03  3.31614562e-03
 -2.24232045e-03  4.80446644e-04 -1.00705063e-03  4.10586043e-04
 -1.13779679e-03 -2.83275818e-04 -1.84000505e-03  2.96128821e-03
  2.43002363e-03  2.12658502e-04  1.65997571e-05  2.28070770e-03
  2.16559251e-03  1.41523604e-03  2.68401322e-03  4.39017924e-04
  3.36571038e-03 -1.04158407e-03 -1.16880692e-03 -7.09874963e-04]"
